name,category,tokenURI
"Astonished Face #1","Smileys & Emotion","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_astonished_face_1.json"
"Astronaut #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_astronaut_1.json"
"ATM Sign #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_atm_sign_1.json"
"Atom Symbol #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_atom_symbol_1.json"
"Automobile #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_automobile_1.json"
"Auto Rickshaw #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_auto_rickshaw_1.json"
"Avocado #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_avocado_1.json"
"Axe #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_axe_1.json"
"A Button (blood Type) #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_a_button_(blood_type)_1.json"
"Baby #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_baby_1.json"
"Baby Angel #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_baby_angel_1.json"
"Baby Bottle #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_baby_bottle_1.json"
